theta,A2,a,b,z,phi1,phi2,status
30.0,-20.0,9.8,7.7,-0.6,0.0,80.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,90.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,100.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,110.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,120.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,130.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,140.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,150.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,160.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,170.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,180.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,190.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,200.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,210.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,220.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,230.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,240.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,250.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,260.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,270.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,280.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,290.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,300.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,310.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,320.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,330.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,340.0,NotYet
30.0,-20.0,9.8,7.7,-0.6,0.0,350.0,NotYet
30.0,-20.0,9.9,7.9,-0.4,0.0,0.0,NotYet
