theta,A2,a,b,z,phi,status
30.0,-6.0,11.7,8.3,2.0,90.0,NotYet
30.0,-6.0,11.7,8.3,2.0,100.0,NotYet
30.0,-6.0,11.7,8.3,2.0,110.0,NotYet
30.0,-6.0,11.6,8.1,2.2,0.0,NotYet
30.0,-6.0,11.6,8.1,2.2,10.0,NotYet
30.0,-6.0,11.6,8.1,2.2,20.0,NotYet
30.0,-6.0,11.6,8.1,2.2,30.0,NotYet
30.0,-6.0,11.6,8.1,2.2,40.0,NotYet
30.0,-6.0,11.6,8.1,2.2,50.0,NotYet
30.0,-6.0,11.6,8.1,2.2,60.0,NotYet
30.0,-6.0,11.6,8.1,2.2,70.0,NotYet
30.0,-6.0,11.6,8.1,2.2,80.0,NotYet
30.0,-6.0,11.6,8.1,2.2,90.0,NotYet
30.0,-6.0,11.6,8.1,2.2,100.0,NotYet
30.0,-6.0,11.6,8.1,2.2,110.0,NotYet
30.0,-6.0,11.6,8.0,2.4,0.0,NotYet
30.0,-6.0,11.6,8.0,2.4,10.0,NotYet
30.0,-6.0,11.6,8.0,2.4,20.0,NotYet
30.0,-6.0,11.6,8.0,2.4,30.0,NotYet
30.0,-6.0,11.6,8.0,2.4,40.0,NotYet
30.0,-6.0,11.6,8.0,2.4,50.0,NotYet
30.0,-6.0,11.6,8.0,2.4,60.0,NotYet
30.0,-6.0,11.6,8.0,2.4,70.0,NotYet
30.0,-6.0,11.6,8.0,2.4,80.0,NotYet
30.0,-6.0,11.6,8.0,2.4,90.0,NotYet
30.0,-6.0,11.6,8.0,2.4,100.0,NotYet
30.0,-6.0,11.6,8.0,2.4,110.0,NotYet
30.0,-6.0,11.2,6.1,2.6,0.0,NotYet
30.0,-6.0,11.2,6.1,2.6,10.0,NotYet
30.0,-6.0,11.2,6.1,2.6,20.0,NotYet
30.0,-6.0,11.2,6.1,2.6,30.0,NotYet
30.0,-6.0,11.2,6.1,2.6,40.0,NotYet
30.0,-6.0,11.2,6.1,2.6,50.0,NotYet
30.0,-6.0,11.2,6.1,2.6,60.0,NotYet
30.0,-6.0,11.2,6.1,2.6,70.0,NotYet
30.0,-6.0,11.2,6.1,2.6,80.0,NotYet
30.0,-6.0,11.2,6.1,2.6,90.0,NotYet
30.0,-6.0,11.2,6.1,2.6,100.0,NotYet
30.0,-6.0,11.2,6.1,2.6,110.0,NotYet
30.0,-6.0,11.3,6.3,2.8,0.0,NotYet
30.0,-6.0,11.3,6.3,2.8,10.0,NotYet
30.0,-6.0,11.3,6.3,2.8,20.0,NotYet
30.0,-6.0,11.3,6.3,2.8,30.0,NotYet
30.0,-6.0,11.3,6.3,2.8,40.0,NotYet
30.0,-6.0,11.3,6.3,2.8,50.0,NotYet
30.0,-6.0,11.3,6.3,2.8,60.0,NotYet
30.0,-6.0,11.3,6.3,2.8,70.0,NotYet
30.0,-6.0,11.3,6.3,2.8,80.0,NotYet
30.0,-6.0,11.3,6.3,2.8,90.0,NotYet
30.0,-6.0,11.3,6.3,2.8,100.0,NotYet
30.0,-6.0,11.3,6.3,2.8,110.0,NotYet
30.0,-6.0,11.5,4.5,3.0,0.0,NotYet
30.0,-6.0,11.5,4.5,3.0,10.0,NotYet
30.0,-6.0,11.5,4.5,3.0,20.0,NotYet
30.0,-6.0,11.5,4.5,3.0,30.0,NotYet
30.0,-6.0,11.5,4.5,3.0,40.0,NotYet
30.0,-6.0,11.5,4.5,3.0,50.0,NotYet
30.0,-6.0,11.5,4.5,3.0,60.0,NotYet
30.0,-6.0,11.5,4.5,3.0,70.0,NotYet
30.0,-6.0,11.5,4.5,3.0,80.0,NotYet
30.0,-6.0,11.5,4.5,3.0,90.0,NotYet
30.0,-6.0,11.5,4.5,3.0,100.0,NotYet
30.0,-6.0,11.5,4.5,3.0,110.0,NotYet
30.0,-6.0,11.6,4.3,3.2,0.0,NotYet
30.0,-6.0,11.6,4.3,3.2,10.0,NotYet
30.0,-6.0,11.6,4.3,3.2,20.0,NotYet
30.0,-6.0,11.6,4.3,3.2,30.0,NotYet
30.0,-6.0,11.6,4.3,3.2,40.0,NotYet
30.0,-6.0,11.6,4.3,3.2,50.0,NotYet
30.0,-6.0,11.6,4.3,3.2,60.0,NotYet
30.0,-6.0,11.6,4.3,3.2,70.0,NotYet
30.0,-6.0,11.6,4.3,3.2,80.0,NotYet
30.0,-6.0,11.6,4.3,3.2,90.0,NotYet
30.0,-6.0,11.6,4.3,3.2,100.0,NotYet
30.0,-6.0,11.6,4.3,3.2,110.0,NotYet
30.0,-6.0,11.7,5.1,3.4,0.0,NotYet
30.0,-6.0,11.7,5.1,3.4,10.0,NotYet
30.0,-6.0,11.7,5.1,3.4,20.0,NotYet
30.0,-6.0,11.7,5.1,3.4,30.0,NotYet
30.0,-6.0,11.7,5.1,3.4,40.0,NotYet
30.0,-6.0,11.7,5.1,3.4,50.0,NotYet
30.0,-6.0,11.7,5.1,3.4,60.0,NotYet
30.0,-6.0,11.7,5.1,3.4,70.0,NotYet
30.0,-6.0,11.7,5.1,3.4,80.0,NotYet
30.0,-6.0,11.7,5.1,3.4,90.0,NotYet
30.0,-6.0,11.7,5.1,3.4,100.0,NotYet
30.0,-6.0,11.7,5.1,3.4,110.0,NotYet
30.0,-6.0,11.8,8.3,3.6,0.0,NotYet
30.0,-6.0,11.8,8.3,3.6,10.0,NotYet
30.0,-6.0,11.8,8.3,3.6,20.0,NotYet
30.0,-6.0,11.8,8.3,3.6,30.0,NotYet
30.0,-6.0,11.8,8.3,3.6,40.0,NotYet
30.0,-6.0,11.8,8.3,3.6,50.0,NotYet
30.0,-6.0,11.8,8.3,3.6,60.0,NotYet
30.0,-6.0,11.8,8.3,3.6,70.0,NotYet
30.0,-6.0,11.8,8.3,3.6,80.0,NotYet
30.0,-6.0,11.8,8.3,3.6,90.0,NotYet
30.0,-6.0,11.8,8.3,3.6,100.0,NotYet
30.0,-6.0,11.8,8.3,3.6,110.0,NotYet
30.0,-6.0,11.7,4.1,3.8,0.0,NotYet
30.0,-6.0,11.7,4.1,3.8,10.0,NotYet
30.0,-6.0,11.7,4.1,3.8,20.0,NotYet
30.0,-6.0,11.7,4.1,3.8,30.0,NotYet
30.0,-6.0,11.7,4.1,3.8,40.0,NotYet
30.0,-6.0,11.7,4.1,3.8,50.0,NotYet
30.0,-6.0,11.7,4.1,3.8,60.0,NotYet
30.0,-6.0,11.7,4.1,3.8,70.0,NotYet
30.0,-6.0,11.7,4.1,3.8,80.0,NotYet
30.0,-6.0,11.7,4.1,3.8,90.0,NotYet
30.0,-6.0,11.7,4.1,3.8,100.0,NotYet
30.0,-6.0,11.7,4.1,3.8,110.0,NotYet
30.0,-6.0,11.7,4.1,4.0,0.0,NotYet
30.0,-6.0,11.7,4.1,4.0,10.0,NotYet
30.0,-6.0,11.7,4.1,4.0,20.0,NotYet
30.0,-6.0,11.7,4.1,4.0,30.0,NotYet
30.0,-6.0,11.7,4.1,4.0,40.0,NotYet
30.0,-6.0,11.7,4.1,4.0,50.0,NotYet
30.0,-6.0,11.7,4.1,4.0,60.0,NotYet
30.0,-6.0,11.7,4.1,4.0,70.0,NotYet
30.0,-6.0,11.7,4.1,4.0,80.0,NotYet
30.0,-6.0,11.7,4.1,4.0,90.0,NotYet
30.0,-6.0,11.7,4.1,4.0,100.0,NotYet
30.0,-6.0,11.7,4.1,4.0,110.0,NotYet
30.0,-4.0,12.3,5.8,-1.4,0.0,NotYet
30.0,-4.0,12.3,5.8,-1.4,10.0,NotYet
30.0,-4.0,12.3,5.8,-1.4,20.0,NotYet
30.0,-4.0,12.3,5.8,-1.4,30.0,NotYet
30.0,-4.0,12.3,5.8,-1.4,40.0,NotYet
30.0,-4.0,12.3,5.8,-1.4,50.0,NotYet
30.0,-4.0,12.3,5.8,-1.4,60.0,NotYet
30.0,-4.0,12.3,5.8,-1.4,70.0,NotYet
30.0,-4.0,12.3,5.8,-1.4,80.0,NotYet
30.0,-4.0,12.3,5.8,-1.4,90.0,NotYet
30.0,-4.0,12.3,5.8,-1.4,100.0,NotYet
30.0,-4.0,12.3,5.8,-1.4,110.0,NotYet
30.0,-4.0,12.5,5.9,-1.2,0.0,NotYet
30.0,-4.0,12.5,5.9,-1.2,10.0,NotYet
30.0,-4.0,12.5,5.9,-1.2,20.0,NotYet
30.0,-4.0,12.5,5.9,-1.2,30.0,NotYet
30.0,-4.0,12.5,5.9,-1.2,40.0,NotYet
30.0,-4.0,12.5,5.9,-1.2,50.0,NotYet
30.0,-4.0,12.5,5.9,-1.2,60.0,NotYet
30.0,-4.0,12.5,5.9,-1.2,70.0,NotYet
30.0,-4.0,12.5,5.9,-1.2,80.0,NotYet
30.0,-4.0,12.5,5.9,-1.2,90.0,NotYet
30.0,-4.0,12.5,5.9,-1.2,100.0,NotYet
30.0,-4.0,12.5,5.9,-1.2,110.0,NotYet
30.0,-4.0,12.7,5.9,-1.0,0.0,NotYet
30.0,-4.0,12.7,5.9,-1.0,10.0,NotYet
30.0,-4.0,12.7,5.9,-1.0,20.0,NotYet
30.0,-4.0,12.7,5.9,-1.0,30.0,NotYet
30.0,-4.0,12.7,5.9,-1.0,40.0,NotYet
30.0,-4.0,12.7,5.9,-1.0,50.0,NotYet
30.0,-4.0,12.7,5.9,-1.0,60.0,NotYet
30.0,-4.0,12.7,5.9,-1.0,70.0,NotYet
30.0,-4.0,12.7,5.9,-1.0,80.0,NotYet
30.0,-4.0,12.7,5.9,-1.0,90.0,NotYet
30.0,-4.0,12.7,5.9,-1.0,100.0,NotYet
30.0,-4.0,12.7,5.9,-1.0,110.0,NotYet
30.0,-4.0,12.8,6.0,-0.8,0.0,NotYet
30.0,-4.0,12.8,6.0,-0.8,10.0,NotYet
30.0,-4.0,12.8,6.0,-0.8,20.0,NotYet
30.0,-4.0,12.8,6.0,-0.8,30.0,NotYet
30.0,-4.0,12.8,6.0,-0.8,40.0,NotYet
30.0,-4.0,12.8,6.0,-0.8,50.0,NotYet
30.0,-4.0,12.8,6.0,-0.8,60.0,NotYet
30.0,-4.0,12.8,6.0,-0.8,70.0,NotYet
30.0,-4.0,12.8,6.0,-0.8,80.0,NotYet
30.0,-4.0,12.8,6.0,-0.8,90.0,NotYet
30.0,-4.0,12.8,6.0,-0.8,100.0,NotYet
30.0,-4.0,12.8,6.0,-0.8,110.0,NotYet
30.0,-4.0,12.8,6.0,-0.6,0.0,NotYet
30.0,-4.0,12.8,6.0,-0.6,10.0,NotYet
30.0,-4.0,12.8,6.0,-0.6,20.0,NotYet
30.0,-4.0,12.8,6.0,-0.6,30.0,NotYet
30.0,-4.0,12.8,6.0,-0.6,40.0,NotYet
30.0,-4.0,12.8,6.0,-0.6,50.0,NotYet
30.0,-4.0,12.8,6.0,-0.6,60.0,NotYet
30.0,-4.0,12.8,6.0,-0.6,70.0,NotYet
30.0,-4.0,12.8,6.0,-0.6,80.0,NotYet
30.0,-4.0,12.8,6.0,-0.6,90.0,NotYet
30.0,-4.0,12.8,6.0,-0.6,100.0,NotYet
30.0,-4.0,12.8,6.0,-0.6,110.0,NotYet
30.0,-4.0,12.8,6.1,-0.4,0.0,NotYet
30.0,-4.0,12.8,6.1,-0.4,10.0,NotYet
30.0,-4.0,12.8,6.1,-0.4,20.0,NotYet
30.0,-4.0,12.8,6.1,-0.4,30.0,NotYet
30.0,-4.0,12.8,6.1,-0.4,40.0,NotYet
30.0,-4.0,12.8,6.1,-0.4,50.0,NotYet
30.0,-4.0,12.8,6.1,-0.4,60.0,NotYet
30.0,-4.0,12.8,6.1,-0.4,70.0,NotYet
30.0,-4.0,12.8,6.1,-0.4,80.0,NotYet
30.0,-4.0,12.8,6.1,-0.4,90.0,NotYet
30.0,-4.0,12.8,6.1,-0.4,100.0,NotYet
30.0,-4.0,12.8,6.1,-0.4,110.0,NotYet
30.0,-4.0,12.6,6.6,-0.2,0.0,NotYet
30.0,-4.0,12.6,6.6,-0.2,10.0,NotYet
30.0,-4.0,12.6,6.6,-0.2,20.0,NotYet
30.0,-4.0,12.6,6.6,-0.2,30.0,NotYet
30.0,-4.0,12.6,6.6,-0.2,40.0,NotYet
30.0,-4.0,12.6,6.6,-0.2,50.0,NotYet
30.0,-4.0,12.6,6.6,-0.2,60.0,NotYet
30.0,-4.0,12.6,6.6,-0.2,70.0,NotYet
30.0,-4.0,12.6,6.6,-0.2,80.0,NotYet
30.0,-4.0,12.6,6.6,-0.2,90.0,NotYet
30.0,-4.0,12.6,6.6,-0.2,100.0,NotYet
30.0,-4.0,12.6,6.6,-0.2,110.0,NotYet
30.0,-4.0,12.3,6.9,0.0,0.0,NotYet
30.0,-4.0,12.3,6.9,0.0,10.0,NotYet
30.0,-4.0,12.3,6.9,0.0,20.0,NotYet
30.0,-4.0,12.3,6.9,0.0,30.0,NotYet
30.0,-4.0,12.3,6.9,0.0,40.0,NotYet
30.0,-4.0,12.3,6.9,0.0,50.0,NotYet
30.0,-4.0,12.3,6.9,0.0,60.0,NotYet
30.0,-4.0,12.3,6.9,0.0,70.0,NotYet
30.0,-4.0,12.3,6.9,0.0,80.0,NotYet
30.0,-4.0,12.3,6.9,0.0,90.0,NotYet
30.0,-4.0,12.3,6.9,0.0,100.0,NotYet
30.0,-4.0,12.3,6.9,0.0,110.0,NotYet
30.0,-4.0,12.4,7.7,0.2,0.0,NotYet
30.0,-4.0,12.4,7.7,0.2,10.0,NotYet
30.0,-4.0,12.4,7.7,0.2,20.0,NotYet
30.0,-4.0,12.4,7.7,0.2,30.0,NotYet
30.0,-4.0,12.4,7.7,0.2,40.0,NotYet
30.0,-4.0,12.4,7.7,0.2,50.0,NotYet
30.0,-4.0,12.4,7.7,0.2,60.0,NotYet
30.0,-4.0,12.4,7.7,0.2,70.0,NotYet
30.0,-4.0,12.4,7.7,0.2,80.0,NotYet
30.0,-4.0,12.4,7.7,0.2,90.0,NotYet
30.0,-4.0,12.4,7.7,0.2,100.0,NotYet
30.0,-4.0,12.4,7.7,0.2,110.0,NotYet
30.0,-4.0,11.6,8.4,0.4,0.0,NotYet
30.0,-4.0,11.6,8.4,0.4,10.0,NotYet
30.0,-4.0,11.6,8.4,0.4,20.0,NotYet
30.0,-4.0,11.6,8.4,0.4,30.0,NotYet
30.0,-4.0,11.6,8.4,0.4,40.0,NotYet
30.0,-4.0,11.6,8.4,0.4,50.0,NotYet
30.0,-4.0,11.6,8.4,0.4,60.0,NotYet
30.0,-4.0,11.6,8.4,0.4,70.0,NotYet
30.0,-4.0,11.6,8.4,0.4,80.0,NotYet
30.0,-4.0,11.6,8.4,0.4,90.0,NotYet
30.0,-4.0,11.6,8.4,0.4,100.0,NotYet
30.0,-4.0,11.6,8.4,0.4,110.0,NotYet
30.0,-4.0,11.2,4.5,3.0,0.0,NotYet
30.0,-4.0,11.2,4.5,3.0,10.0,NotYet
30.0,-4.0,11.2,4.5,3.0,20.0,NotYet
30.0,-4.0,11.2,4.5,3.0,30.0,NotYet
30.0,-4.0,11.2,4.5,3.0,40.0,NotYet
30.0,-4.0,11.2,4.5,3.0,50.0,NotYet
30.0,-4.0,11.2,4.5,3.0,60.0,NotYet
30.0,-4.0,11.2,4.5,3.0,70.0,NotYet
30.0,-4.0,11.2,4.5,3.0,80.0,NotYet
30.0,-4.0,11.2,4.5,3.0,90.0,NotYet
30.0,-4.0,11.2,4.5,3.0,100.0,NotYet
30.0,-4.0,11.2,4.5,3.0,110.0,NotYet
30.0,-4.0,11.3,5.2,3.2,0.0,NotYet
30.0,-4.0,11.3,5.2,3.2,10.0,NotYet
30.0,-4.0,11.3,5.2,3.2,20.0,NotYet
30.0,-4.0,11.3,5.2,3.2,30.0,NotYet
30.0,-4.0,11.3,5.2,3.2,40.0,NotYet
30.0,-4.0,11.3,5.2,3.2,50.0,NotYet
30.0,-4.0,11.3,5.2,3.2,60.0,NotYet
30.0,-4.0,11.3,5.2,3.2,70.0,NotYet
30.0,-4.0,11.3,5.2,3.2,80.0,NotYet
30.0,-4.0,11.3,5.2,3.2,90.0,NotYet
30.0,-4.0,11.3,5.2,3.2,100.0,NotYet
30.0,-4.0,11.3,5.2,3.2,110.0,NotYet
30.0,-4.0,11.4,5.6,3.4,0.0,NotYet
30.0,-4.0,11.4,5.6,3.4,10.0,NotYet
30.0,-4.0,11.4,5.6,3.4,20.0,NotYet
30.0,-4.0,11.4,5.6,3.4,30.0,NotYet
30.0,-4.0,11.4,5.6,3.4,40.0,NotYet
30.0,-4.0,11.4,5.6,3.4,50.0,NotYet
30.0,-4.0,11.4,5.6,3.4,60.0,NotYet
30.0,-4.0,11.4,5.6,3.4,70.0,NotYet
30.0,-4.0,11.4,5.6,3.4,80.0,NotYet
30.0,-4.0,11.4,5.6,3.4,90.0,NotYet
30.0,-4.0,11.4,5.6,3.4,100.0,NotYet
30.0,-4.0,11.4,5.6,3.4,110.0,NotYet
30.0,-4.0,11.5,8.5,3.6,0.0,NotYet
30.0,-4.0,11.5,8.5,3.6,10.0,NotYet
30.0,-4.0,11.5,8.5,3.6,20.0,NotYet
30.0,-4.0,11.5,8.5,3.6,30.0,NotYet
30.0,-4.0,11.5,8.5,3.6,40.0,NotYet
30.0,-4.0,11.5,8.5,3.6,50.0,NotYet
30.0,-4.0,11.5,8.5,3.6,60.0,NotYet
30.0,-4.0,11.5,8.5,3.6,70.0,NotYet
30.0,-4.0,11.5,8.5,3.6,80.0,NotYet
30.0,-4.0,11.5,8.5,3.6,90.0,NotYet
30.0,-4.0,11.5,8.5,3.6,100.0,NotYet
30.0,-4.0,11.5,8.5,3.6,110.0,NotYet
30.0,-4.0,11.3,4.2,3.8,0.0,NotYet
30.0,-4.0,11.3,4.2,3.8,10.0,NotYet
30.0,-4.0,11.3,4.2,3.8,20.0,NotYet
30.0,-4.0,11.3,4.2,3.8,30.0,NotYet
30.0,-4.0,11.3,4.2,3.8,40.0,NotYet
30.0,-4.0,11.3,4.2,3.8,50.0,NotYet
30.0,-4.0,11.3,4.2,3.8,60.0,NotYet
30.0,-4.0,11.3,4.2,3.8,70.0,NotYet
30.0,-4.0,11.3,4.2,3.8,80.0,NotYet
30.0,-4.0,11.3,4.2,3.8,90.0,NotYet
30.0,-4.0,11.3,4.2,3.8,100.0,NotYet
30.0,-4.0,11.3,4.2,3.8,110.0,NotYet
30.0,-2.0,11.3,5.7,-1.8,0.0,NotYet
30.0,-2.0,11.3,5.7,-1.8,10.0,NotYet
30.0,-2.0,11.3,5.7,-1.8,20.0,NotYet
30.0,-2.0,11.3,5.7,-1.8,30.0,NotYet
30.0,-2.0,11.3,5.7,-1.8,40.0,NotYet
30.0,-2.0,11.3,5.7,-1.8,50.0,NotYet
30.0,-2.0,11.3,5.7,-1.8,60.0,NotYet
30.0,-2.0,11.3,5.7,-1.8,70.0,NotYet
30.0,-2.0,11.3,5.7,-1.8,80.0,NotYet
30.0,-2.0,11.3,5.7,-1.8,90.0,NotYet
30.0,-2.0,11.3,5.7,-1.8,100.0,NotYet
30.0,-2.0,11.3,5.7,-1.8,110.0,NotYet
30.0,-2.0,11.6,5.8,-1.6,0.0,NotYet
30.0,-2.0,11.6,5.8,-1.6,10.0,NotYet
30.0,-2.0,11.6,5.8,-1.6,20.0,NotYet
30.0,-2.0,11.6,5.8,-1.6,30.0,NotYet
30.0,-2.0,11.6,5.8,-1.6,40.0,NotYet
30.0,-2.0,11.6,5.8,-1.6,50.0,NotYet
30.0,-2.0,11.6,5.8,-1.6,60.0,NotYet
30.0,-2.0,11.6,5.8,-1.6,70.0,NotYet
30.0,-2.0,11.6,5.8,-1.6,80.0,NotYet
30.0,-2.0,11.6,5.8,-1.6,90.0,NotYet
30.0,-2.0,11.6,5.8,-1.6,100.0,NotYet
30.0,-2.0,11.6,5.8,-1.6,110.0,NotYet
30.0,-2.0,12.8,5.8,-1.4,0.0,NotYet
30.0,-2.0,12.8,5.8,-1.4,10.0,NotYet
30.0,-2.0,12.8,5.8,-1.4,20.0,NotYet
30.0,-2.0,12.8,5.8,-1.4,30.0,NotYet
30.0,-2.0,12.8,5.8,-1.4,40.0,NotYet
30.0,-2.0,12.8,5.8,-1.4,50.0,NotYet
30.0,-2.0,12.8,5.8,-1.4,60.0,NotYet
30.0,-2.0,12.8,5.8,-1.4,70.0,NotYet
30.0,-2.0,12.8,5.8,-1.4,80.0,NotYet
30.0,-2.0,12.8,5.8,-1.4,90.0,NotYet
30.0,-2.0,12.8,5.8,-1.4,100.0,NotYet
30.0,-2.0,12.8,5.8,-1.4,110.0,NotYet
30.0,-2.0,13.0,5.9,-1.2,0.0,NotYet
30.0,-2.0,13.0,5.9,-1.2,10.0,NotYet
30.0,-2.0,13.0,5.9,-1.2,20.0,NotYet
30.0,-2.0,13.0,5.9,-1.2,30.0,NotYet
30.0,-2.0,13.0,5.9,-1.2,40.0,NotYet
30.0,-2.0,13.0,5.9,-1.2,50.0,NotYet
30.0,-2.0,13.0,5.9,-1.2,60.0,NotYet
30.0,-2.0,13.0,5.9,-1.2,70.0,NotYet
30.0,-2.0,13.0,5.9,-1.2,80.0,NotYet
30.0,-2.0,13.0,5.9,-1.2,90.0,NotYet
30.0,-2.0,13.0,5.9,-1.2,100.0,NotYet
30.0,-2.0,13.0,5.9,-1.2,110.0,NotYet
30.0,-2.0,13.4,6.2,-1.0,0.0,NotYet
30.0,-2.0,13.4,6.2,-1.0,10.0,NotYet
30.0,-2.0,13.4,6.2,-1.0,20.0,NotYet
30.0,-2.0,13.4,6.2,-1.0,30.0,NotYet
30.0,-2.0,13.4,6.2,-1.0,40.0,NotYet
30.0,-2.0,13.4,6.2,-1.0,50.0,NotYet
30.0,-2.0,13.4,6.2,-1.0,60.0,NotYet
30.0,-2.0,13.4,6.2,-1.0,70.0,NotYet
30.0,-2.0,13.4,6.2,-1.0,80.0,NotYet
30.0,-2.0,13.4,6.2,-1.0,90.0,NotYet
30.0,-2.0,13.4,6.2,-1.0,100.0,NotYet
30.0,-2.0,13.4,6.2,-1.0,110.0,NotYet
30.0,-2.0,13.3,6.4,-0.8,0.0,NotYet
30.0,-2.0,13.3,6.4,-0.8,10.0,NotYet
30.0,-2.0,13.3,6.4,-0.8,20.0,NotYet
30.0,-2.0,13.3,6.4,-0.8,30.0,NotYet
30.0,-2.0,13.3,6.4,-0.8,40.0,NotYet
30.0,-2.0,13.3,6.4,-0.8,50.0,NotYet
30.0,-2.0,13.3,6.4,-0.8,60.0,NotYet
30.0,-2.0,13.3,6.4,-0.8,70.0,NotYet
30.0,-2.0,13.3,6.4,-0.8,80.0,NotYet
30.0,-2.0,13.3,6.4,-0.8,90.0,NotYet
30.0,-2.0,13.3,6.4,-0.8,100.0,NotYet
30.0,-2.0,13.3,6.4,-0.8,110.0,NotYet
30.0,-2.0,13.0,7.1,-0.6,0.0,NotYet
30.0,-2.0,13.0,7.1,-0.6,10.0,NotYet
30.0,-2.0,13.0,7.1,-0.6,20.0,NotYet
30.0,-2.0,13.0,7.1,-0.6,30.0,NotYet
30.0,-2.0,13.0,7.1,-0.6,40.0,NotYet
30.0,-2.0,13.0,7.1,-0.6,50.0,NotYet
30.0,-2.0,13.0,7.1,-0.6,60.0,NotYet
30.0,-2.0,13.0,7.1,-0.6,70.0,NotYet
30.0,-2.0,13.0,7.1,-0.6,80.0,NotYet
30.0,-2.0,13.0,7.1,-0.6,90.0,NotYet
30.0,-2.0,13.0,7.1,-0.6,100.0,NotYet
30.0,-2.0,13.0,7.1,-0.6,110.0,NotYet
30.0,-2.0,12.6,7.7,-0.4,0.0,NotYet
30.0,-2.0,12.6,7.7,-0.4,10.0,NotYet
30.0,-2.0,12.6,7.7,-0.4,20.0,NotYet
30.0,-2.0,12.6,7.7,-0.4,30.0,NotYet
30.0,-2.0,12.6,7.7,-0.4,40.0,NotYet
30.0,-2.0,12.6,7.7,-0.4,50.0,NotYet
30.0,-2.0,12.6,7.7,-0.4,60.0,NotYet
30.0,-2.0,12.6,7.7,-0.4,70.0,NotYet
30.0,-2.0,12.6,7.7,-0.4,80.0,NotYet
30.0,-2.0,12.6,7.7,-0.4,90.0,NotYet
30.0,-2.0,12.6,7.7,-0.4,100.0,NotYet
30.0,-2.0,12.6,7.7,-0.4,110.0,NotYet
30.0,-2.0,12.0,8.1,-0.2,0.0,NotYet
30.0,-2.0,12.0,8.1,-0.2,10.0,NotYet
30.0,-2.0,12.0,8.1,-0.2,20.0,NotYet
30.0,-2.0,12.0,8.1,-0.2,30.0,NotYet
30.0,-2.0,12.0,8.1,-0.2,40.0,NotYet
30.0,-2.0,12.0,8.1,-0.2,50.0,NotYet
30.0,-2.0,12.0,8.1,-0.2,60.0,NotYet
30.0,-2.0,12.0,8.1,-0.2,70.0,NotYet
30.0,-2.0,12.0,8.1,-0.2,80.0,NotYet
30.0,-2.0,12.0,8.1,-0.2,90.0,NotYet
30.0,-2.0,12.0,8.1,-0.2,100.0,NotYet
30.0,-2.0,12.0,8.1,-0.2,110.0,NotYet
30.0,-2.0,10.7,9.0,0.0,0.0,NotYet
30.0,-2.0,10.7,9.0,0.0,10.0,NotYet
30.0,-2.0,10.7,9.0,0.0,20.0,NotYet
30.0,-2.0,10.7,9.0,0.0,30.0,NotYet
30.0,-2.0,10.7,9.0,0.0,40.0,NotYet
30.0,-2.0,10.7,9.0,0.0,50.0,NotYet
30.0,-2.0,10.7,9.0,0.0,60.0,NotYet
30.0,-2.0,10.7,9.0,0.0,70.0,NotYet
30.0,-2.0,10.7,9.0,0.0,80.0,NotYet
30.0,-2.0,10.7,9.0,0.0,90.0,NotYet
30.0,-2.0,10.7,9.0,0.0,100.0,NotYet
30.0,-2.0,10.7,9.0,0.0,110.0,NotYet
30.0,-2.0,10.9,8.7,0.2,0.0,NotYet
30.0,-2.0,10.9,8.7,0.2,10.0,NotYet
30.0,-2.0,10.9,8.7,0.2,20.0,NotYet
30.0,-2.0,10.9,8.7,0.2,30.0,NotYet
30.0,-2.0,10.9,8.7,0.2,40.0,NotYet
30.0,-2.0,10.9,8.7,0.2,50.0,NotYet
30.0,-2.0,10.9,8.7,0.2,60.0,NotYet
30.0,-2.0,10.9,8.7,0.2,70.0,NotYet
30.0,-2.0,10.9,8.7,0.2,80.0,NotYet
30.0,-2.0,10.9,8.7,0.2,90.0,NotYet
30.0,-2.0,10.9,8.7,0.2,100.0,NotYet
30.0,-2.0,10.9,8.7,0.2,110.0,NotYet
30.0,-2.0,10.8,4.6,3.0,0.0,NotYet
30.0,-2.0,10.8,4.6,3.0,10.0,NotYet
30.0,-2.0,10.8,4.6,3.0,20.0,NotYet
30.0,-2.0,10.8,4.6,3.0,30.0,NotYet
30.0,-2.0,10.8,4.6,3.0,40.0,NotYet
30.0,-2.0,10.8,4.6,3.0,50.0,NotYet
30.0,-2.0,10.8,4.6,3.0,60.0,NotYet
30.0,-2.0,10.8,4.6,3.0,70.0,NotYet
30.0,-2.0,10.8,4.6,3.0,80.0,NotYet
30.0,-2.0,10.8,4.6,3.0,90.0,NotYet
30.0,-2.0,10.8,4.6,3.0,100.0,NotYet
30.0,-2.0,10.8,4.6,3.0,110.0,NotYet
30.0,-2.0,11.0,5.6,3.2,0.0,NotYet
30.0,-2.0,11.0,5.6,3.2,10.0,NotYet
30.0,-2.0,11.0,5.6,3.2,20.0,NotYet
30.0,-2.0,11.0,5.6,3.2,30.0,NotYet
30.0,-2.0,11.0,5.6,3.2,40.0,NotYet
30.0,-2.0,11.0,5.6,3.2,50.0,NotYet
30.0,-2.0,11.0,5.6,3.2,60.0,NotYet
30.0,-2.0,11.0,5.6,3.2,70.0,NotYet
30.0,-2.0,11.0,5.6,3.2,80.0,NotYet
30.0,-2.0,11.0,5.6,3.2,90.0,NotYet
30.0,-2.0,11.0,5.6,3.2,100.0,NotYet
30.0,-2.0,11.0,5.6,3.2,110.0,NotYet
